detail_list,mark
"Johnny Andrean Tunjungan Plaza, Jalan Basuki Rahmat, Kedungdoro, Surabaya City, East Java(lantai UG TP3)",__label__positive
"jl.rsud no 11D(toko bintang jaya cell samping mi shop dan samsung 
)",__label__positive
Lippo plaza(Salsa Dessert and Finger Bites lt.Ug depan matahari lantai 2),__label__positive
Jl. Juanda / Ruko Plaza Blok. A no.18(Jl. Juanda / Ruko Plaza Blok. A no.18),__label__positive
"jln Adisucipto samping GG keluarga nama toko INFRA PHONE
",__label__positive
jln pesantren ( depan SMPIP Baitul Mall Warmindo)RT003/RW 001 jurang Mangu Timur Banten kota Tangerang pondok aren Banten pos 15222,__label__positive
jln.cendrawasih rt 06 rw 03 kp baru no 19(blakang angkasa phone cell),__label__positive
kp.baru rt 10 rw 07(konter ryan cell depan salon tia),__label__positive
konter baliem cell sentani,__label__positive
Sidomulyo tanggung harjo Rt02 rw03 konter kuning LP CELL ,__label__positive
"Plaza Kuningan kav c11-14 Jalan Haji R. Rasuna Said, RT.2/RW.5, Karet Kuningan, Setiabudi, South Jakarta City, Jakarta(plaza kuningan menara utara(lobby depan))",__label__positive
konter NA cell Gg KUD rt 05 rw 02 no .35 depan masjid al ishlah,__label__positive
Bt batik trusmi jalan diponegoro no 20b samping sun plaza medan,__label__positive
"Dusun Krajan 1 No 04 RT 003 RW 001 Desa Kedawung Kecamatan Lemahabang Kabupaten Karawang, Jawa Barat 41383(Sebrang Konter Saidor Cell ( Pom Mini & Warung Nasi Ibu Aat ))",__label__positive
Gedung plaza kenari mas(Lantai 3 blok j-70 toko ikkimura super store),__label__positive
kimmi cell rt 5 rw 1,__label__positive
Novan cell  jl.raya subah no.68 rt.01 rw.07 tarub,__label__positive
"jalan gunung korakan ziva cell 
rt 01/03",__label__positive
Fikri Cell Rimbulor RT 03 RW 04 Rejosari Karangawen Demak,__label__positive
"klinik Natasha ,mall lipo plaza kupang no 9-11 ",__label__positive
"jl.ir.h.juanda rt 03 rw 01  no. 63 ciputat , sebelum mega mall ciputat (tanah kosong)",__label__positive
JL.raya mauk tanjakan Rajeg (Depan Tower) Tk.Setia Phone Cell ID 15540,__label__positive
jlan jc rangkap rt5 toko mahoding cell(toko mahoding cell (depan pasar lama nanga bulik)),__label__positive
For you cell no.38 mrican caturtunggal depok sleman yogyakarta(atmajapanduu@gmail.com),__label__positive
"Pasar Atom, Jalan Bunguran(Pasar atom mall LT 3 CB 16 toko glossnglow ( dekat atom cafe))",__label__positive
"Jalan Ratu Dibalau No.8, Way Kandis, Bandar Lampung City(toko Elsa di samping salim cell depan gang cempaka 8)",__label__positive
cibinong keradenan rt01 rw03 konter dodi cell dpn smkn 1 cibinong,__label__positive
"dusun Krajan 1 rt3rw2desa kembiritan kecamatan genteng kabupaten Banyuwangi Jawa timur(gang masuk perumahan adimas berkah cell depan musollah baitusholihin
)",__label__positive
"Bulukerto,mliwis,Cepogo,Boyolali NO 19 RT 11 RW 2(barat dokter handphone rumah kedua )",__label__positive
bursa mobil sumarecon plaza auto blok a no 7(blok a no 7 sebrang rs bethsaida),__label__positive
"Mister Phone, sebelah terminal Ngawen.",__label__positive
"Tanrutedong,depan Mts DDI kalosi nama toko Mandala Cell(toko Mandala Cell )",__label__positive
jl imam bonjol no 155 (adenda water)(adenda water (samping konter urip cell 2)),__label__positive
indomaret saxophone ,__label__positive
"Samsung Store
Grand Indonesia Mall lt. 3A (East mall)
jalan MH. Thamrin No. 1,Menteng,Jakarta Pusat",__label__positive
jalan proborini rt/rw 001/008 (belakang latanza cell rumah cat warna hijau),__label__positive
Modelux Mobile Center,__label__positive
"Depan Gerbang SMP 1 SIMPANG KATIS (a.n. Oke Cell Yeri Anggraini), Desa Simpang Katis(Yeri Anggraini)",__label__positive
lorong puskesmas Bahodopi toko ALGQAF phone samping warung 3 putra,__label__positive
prum.airmas plaza blok h no 9(blok h no 9 rt/rw 004/013 ),__label__positive
"Fc phone singosaren plasa area bazar , jln gatot subroto solo ",__label__positive
"konter new star cell depan pabrik jarum jl wr supratman no 92 
",__label__positive
SM raja Suzuya mall lantai 1,__label__positive
Meina .di toko anekaphone jln.mekarsari no 31 .RT oo2 RW 13 tambun selatan Bekasi timur 107510,__label__positive
"pt. waki 
plaza kalibata ruko 3 no 7 deretan yoshinoya (deretan yoshinoya )",__label__positive
Jalan Doktor Cipto Mangunkusumo(CSB MALL ( ERAFONE LANTAI1 blok:27 )),__label__positive
"Singosaren Plaza Solo, Jalan Gatot Subroto, Kemlayan, Surakarta City, Central Java,FC phone area bazar parkiran belakang(kantor)",__label__positive
Palembang icon mall (lantai dasar stand bazar asiro),__label__positive
"PT. MidPlaza Prima, Maintenance Dept. 

gedung midplaza 1 lt.Basement Jln. Jend. Sudirman Kav.10-11 ",__label__positive
Plaza Kalibata ruko III No 7(PT WAKI LUAR Depan parkir mobil),__label__positive
mall tamini square lantai 2 blok ss 31 no 5 Toko Inboxmobile,__label__positive
"jl kapten muslim, plaza millenium lt dasar no 6(toko intikom)",__label__positive
"Intikom Plaza Millenium, Dwi Kora, Medan Helvetia, Medan(sebelah grapari telkomsel)",__label__positive
kp. pabatan rt/rw 003/002(di belakang pom bensin indostation mobile),__label__positive
"Mutiara Cell 
Grand ITC Permata Hijau(Lantai 3 Blok C2 no 2-3)",__label__positive
"jl. Raya cikaret gang printis, konter hp java cell (konter hp)",__label__positive
konter djoss Cell depan baladesa windunegara ,__label__positive
BSD plaza(atas nama Rudi BMPs ),__label__positive
jl m  Al ikhlas rt 05 / rw 07(masuk gang Al ikhlas lurus sampai ada warung klontong lulu cell / Pom mini . belok kanan . lurus dikit ada pertigaan belok kanan),__label__positive
jl dokter sutomo no 148 (konter langgenk cell utara toko juni elektronik) kanigaran(konter langgenk cell utara toko juni ),__label__positive
lantai UG jogjatronik mall jln. brigjend katamso no 75-77,__label__positive
"komplek pertokoan bunderan sukorejo, kendal, konter bajaphone",__label__positive
Mybank Indonesia kantor cabang pekan baru kompleks senapelan plaza JL Jendral sudirman No. 69/121-N Pekanbaru 28141,__label__positive
lippo mall karawaci erafone 1 lantai LG samping servis center vivo(lantai LG),__label__positive
Kurnia Cell Ungasan,__label__positive
jl Teuku Umar komp Pontianak mall block b no 36 b ( pt tanto ) ,__label__positive
Gg Anita samping Surya Cell no rmh 04 cat biru hijau depan Bank bni,__label__positive
"jl. Boulevard Raya, pakulonan Barat Sumarecon Mall Serpong Dgf # 19 Dante Coffee, Tangerang ",__label__positive
jl terusan kalijaga blok b no 2 kawasan ruko citraland telering (telering  kawasan citraland toko handphone),__label__positive
"depan gang damai kelurahan rawa mekar jaya konter bond"" Cell RT 001/RW 009.samping nasi uduk mpok Lilis
",__label__positive
Mall itc cempaka mas lantai 4 blok J 825-827,__label__positive
JALAN RAJAWALI N0 106 KONTER GORI CELL 1,__label__positive
sidotopo sekolahan 9 depan AIZA cell belakangnya toko hijau,__label__positive
AW clinic .Ruko plaza yaman niaga blok G/6(Depan GBI BSB),__label__positive
jln sumatra 179 jember konter Golden cell 2 depan DPR jember,__label__positive
Jl kebo iwa(Ana cell tepat di sebrang ACK ),__label__positive
kedoya elok plaza jln panjang (blok DC 57 lt 1),__label__positive
"may may salon di mall summarecon mall serpong, lantai 1 no 203 tangerang
",__label__positive
jalan ceger raya no 69 . ditoko konter hp asia phone . depan boba time .(TOKO HP ASIA PHONE),__label__positive
ruko mayasari plasa no 56 (sebelah pintu masuk parkiran mall mayasari plasa),__label__positive
Pertokoan dalung permai blok 11  (Taraphone ),__label__positive
"Summarecon Mall Bekasi, Marga Mulya bekasi . jln boulevar ahmad yani, toko jam tangan WATCH WORLD lantai GF-127 ",__label__positive
jalan gerbang poris no 08 eraphone bayu,__label__positive
Keken cell dekat gang prumnas RT:04,__label__positive
"Jl raya sebaung Timur SMAN 1 gending ,Bintang cell depan Kuning Jaya(jl raya sebaung Timur SMA N 1 gending  ,Konter Bintang )",__label__positive
jln binawan 2(belakang liping plaza dekat caffe noralona depan kost san warna kuning),__label__positive
TK.setia phone Chell Jl.raya Mauk tanjakan Rajeg (DepanTower)(Toko),__label__positive
"Jalan Kusuma No.60, Dukuh(konter mulya cell jalan kusuma no 60 kebumen)",__label__positive
Dome Cell Sebelah BTN Selincah,__label__positive
toko apaw noodle house foodcourt summarecon mall serpong(foodcourt lt2),__label__positive
Nita Cell aeknatolu(dekat gereja katholik),__label__positive
Showroom Hammer Mall ciputra Lantai Dasar no 18. Semarang (lantai dasar ),__label__positive
conter Dinda cell sebelah selatan Indomaret Kwanyar Bangkalan Madura,__label__positive
maskuning kulon RT 19 RW 04.pujer.bondowoso(perempatan pasar Pujer ke selatan .konter Bella Cell masuk jalan yang ke kanan(rumah bapak nartus)),__label__positive
JL.GANDA WIJAYA CIMAHI MALL LT.GF TOKO RUMAH SANDAL C1/3,__label__positive
"Jln Bakaran batu no 38(Pagar warna orange. Di sebelah laundry pelangi,depan ksm phoneshop)",__label__positive
grand mall Maros lt 3 toko erafone,__label__positive
jl.ceger raya no.69 KONTER ASIAPHONE depan bobatime (asiaphone ceger ),__label__positive
"emiloa hotel komplek palembng indah mall 
jl. letkol iskandar no 18 24 ilir kec bukit kecil kota palembang sumatra selatan 30113",__label__positive
Jl.teuku umar ruko plaza shinta blok c no.22,__label__positive
"jl pantai batu bolong no 57, depan cafe vida bar(konter Rikha Cell )",__label__positive
"komet Cell 2 (jalan pasar belik,komet Cell 2.)",__label__positive
basuki rahmat 122. . plaza bri lt 8 . 803,__label__positive
"Rt 39 depan konter CIPENK CELL (RUMAH UTARA JALAN) 
",__label__positive
"kp.sirih lor rt 01/rw01 desa bandulu (konter linda cell depan hottel jayakarta 
)",__label__positive
"jln Raden intan no 126,tanah miring( rumah Rio)(jln Raden intan no125 tanah miring,kota alam depan konter Mon Cell (rumah nya Rio ))",__label__positive
jl.gatot Subroto no 289. gedung mall trans studio mall Bandung (lantai 1 counter ORCA (lantai 1 (lantai 1 ( ORCA)),__label__positive
jl Bangka II Gg 8 RT 7 RW 1 no 10(Zaidan Cell / rumah bang Ipul AC),__label__positive
"Wonoayu RT 5 RW 2 (KONTER RADJA CELL 2
)",__label__positive
RS Promedika. Jl Gusti Sulung Lelanang Komp. Pontianak Mall blok E-A no 2-5,__label__positive
"CLASIC, kompleks ruko latanete plaza (samping optik Melawai / berhadapan dengan bank BRI) jalan sungai Saddang lama. Makassar - Sulawesi Selatan
(kurir : wajib menghubungi sebelum pengantaran.)",__label__positive
jalan Hasanuddin gang Mandiri cell rt/rw 03/04 samping lapangan. (Jalan Hasanuddin Gang Mandiri Cell rt/rw 03/04 kelurahan bugis ),__label__positive
"Jln Hj Rasuna Said , Plaza festival Jakarta selatan (Salon johnny andrean)",__label__positive
Laras cell mcc blok k1 singosaren plaza surakarta,__label__positive
"Plaza asia,jln hz mustofa no.326,tugujaya,cihideung(toko accesoris heartwarmer)kota tasikmalaya,cihideung, jawa barat,id 46126",__label__positive
"sultan Mansyur bukit lama kota pelmbang
(konter Salsabila Cell 1, samping roket chicken depan masjid mualimin
)",__label__positive
Harco mangga dua plaza(harco mangga dua counter Lt.dasar blok b no.24),__label__positive
gambirono curah cabe tempat pasti cell(konter pasti cell dekat tami market curah cabe),__label__positive
jalan Asia Mega mas Yanglim plaza kasir parkir,__label__positive
"jl.mbah jangkung kp.panjalin  rt002/001 no.17 (zena cell dan jus
)",__label__positive
White Mode Lombok Epicentrum Mall (Lt.Ground depan Matahari),__label__positive
"Jalan Pahlawan, Azkadina cell depan cafe the lounge.",__label__positive
"Jalan Raya Cimatis, RT.003/RW.008, Leuwinanggung, Bekasi City, West Java(NH Cell 1 )",__label__positive
jl. letjen soeprapto no.62 rt 14 / rw 5(warkop 62. Seberang halte busway rs.islam arah ITC cempaka mas. Samping alfamart),__label__positive
"Kali Asin, Sukamulya, Tangerang(toko new Cell 2 ceplak depan sorum mobil)",__label__positive
jln.mh tamrin plaza niaga 1 blok b no 36 refleksi ratu mawar,__label__positive
"konter anugerah Cell 2, depan air biru samping Alfamart( jl raya Kalimulya no.74 RT 2
",__label__positive
itc depok lantai 3 blok A no50 Dairi phone cell,__label__positive
"klinik Pratama Ratna no.4e rt.03 RW. 05 Cilandak barat,note : (samping Telkom plaza) klinik dokter 24 jam",__label__positive
itc depok lantai 3 blok A no50 Dairi phone cell(itc depok lantai3 blok A no 50 tokoh Dairi phone vmcell),__label__positive
"Sentra Summarecon Bekasi Jl. Bulevard Ahmad Yani Blok M, Marga Mulya, Kec. Bekasi Utara, Kota Bks, Jawa Barat 17142
(Bakmi Gili Summarecon Mall Lantai 3)",__label__positive
"Jl. Rajawali, Gatak Rt.01 (kos bu maryati warna abu belakang view cell )",__label__positive
Erafone store bip mall lt.gf jl.merdeka no.56 (Erafone Bip mall Lt.gf blok b2A),__label__positive
RT/RW 012/005 Konter Global Cell depan pabrik guci,__label__positive
"Gemilang (Smartphone & Accessories), Jalan Andalas(simp. azizi)",__label__positive
toko NYS.co mall kalibata city square (mall apartemen)(dari lobby utama belok kiri belakang samsung),__label__positive
harco mangga dua plaza(blok a2 nomor 140),__label__positive
conter RJ cell pas simpang 3 wira mode(conter pas pengkolan),__label__positive
PT. Selular Global Net. No.68B Jl. Emmy Saelan Depan Suzuki Patrako Motor Abadi (ruko warna kuning),__label__positive
"Jalan Epicentrum Selatan, RT.2/RW.5, Kuningan(Kantor Mall Pelayanan Publik)",__label__positive
"Summarecon Mall Bekasi ( THE FOODHALL )
Jln. Bulevard Blok M
kel. teluk buyung",__label__positive
DINI CELL Jln jatijajar2 rt5 rw7 kec.tapos.kel.jatijajar,__label__positive
KPAD jl Dahlia G 17 cijantung 2 (Patokan dekat mall cijantung ),__label__positive
harco mangga dua plaza lt 3 no.168c blok A(harco mangga dua plaza lt 3 blok A no.168c),__label__positive
"Panin Bank.
Puri imperium office plaza Lt UG 19.
Jl. Kuningan Madya Kav 5-6 Guntur Setiabudi Jakarta Selatan DKI Jakarta, RT.6/RW.2, Guntur, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12910(kantor bukak 24 jam)",__label__positive
"konter BG cell ngunut lor rt 20,, pinggir toko akhsof(jln playen -getas)",__label__positive
jl. bsd raya utama desa Lengkong kulon mall qbig Tangerang(pintu karyawan mitra 10 qbig),__label__positive
jln rasuna said epiwalk mall tawan restoran lantai gf,__label__positive
"jl.sudirman, Giva Cell samping RM lamak besamo
(simpang jeruk manis)",__label__positive
"
Jl.lNanas Utara No.16, RT.15/.7, Cipinang Cempedak, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13340(Toko Mustika cell )",__label__positive
Utara pertigaan pendarungan Toko lisa cell hadap timur,__label__positive
"pancor, selong(Toko irhamna, jln.prof supomo, depan mall mini. Kabupaten Lombok Timur. NTB)",__label__positive
jalan Ponegoro. tepatnya di Palu Grand Mall lantai 2 toko White Mode,__label__positive
Rembo cell Rt04 Rw01 ,__label__positive
Konter rohim cell samping nano deller dusun sidorejo (Sebelum SD pujiwaluyo ),__label__positive
"Manyar tegal no 87  deket galaxy mall 3, KOTA SURABAYA, MULYOREJO, JAWA TIMUR, ID, 60112",__label__positive
outlet ela doughnut ambarukmo plaza (lantai LG),__label__positive
Jl. Gatot Subroto(di gedung plaza Medan fair),__label__positive
toko mitra 78 cell jl Langsat depan kantor dinas bina marga,__label__positive
"toddotoa, perbatasan kampili, konter ELHA CELL 03 sebla kanan dri arah Pallangga
",__label__positive
"Jl. Asia Afrika, RT.1/RW.3(Gedung Mall Senayan City, Lantai LG Front office)",__label__positive
"znz cell  3, Jalan Kedung Mangu Timur No. 1(samping jnt )",__label__positive
"Toko Samudra Jaya, Jalan K.Z. Abidin(belakang mega mall bengkulu)",__label__positive
Kp. Jawaringan RT.004/003 No. 66 Konter Cayden Cell (Konter Cayden Cell),__label__positive
toko Anto cell depan SD 02 karangjongkeng RT 02 Rw05,__label__positive
"Al Ikhtiar cell , Depan mesjid Al mujahidin. Jl. H. Arjan Desa Murung A RT 002 RW 001 (Al Ikhtiar cell Depan Mesjid Al mujahidin)",__label__positive
"Toko New Miracle, Jalan Itc Fatmawati Pintu 1 Lantai Dasar No.14, Cipete Utara, Kebayoran Baru, KOTA JAKARTA SELATAN, KEBAYORAN BARU, DKI JAKARTA, ID, 12160(lantai dasar No 14)",__label__positive
"Beachwalk mall Shopping Center, Jl. Pantai Kuta, Kuta, Kuta, Kabupat¨¦n Badung(sushi tei restaurant Lt.2)",__label__positive
"Exsport Gramedia Madiun Plaza, Kartoharjo, Madiun City, East Java",__label__positive
"trans studio mall makassar(lantai LG, booth atau stand polkadot)",__label__positive
"Lipo Mall Kemang,Little noona coffe L1(lantai 1 ( depan skechers ))",__label__positive
Apartemen gandaria nghetis  .jakrtaKebayoran lama .tower B Unit 1701. samping mall Gandaria city,__label__positive
"jalan imam Bonjol,sumberjo Kemiling-bandar Lampung,konter Corona cell pas depan gang Birawa",__label__positive
Bank CIMB Niaga Digital Lounge Tentrem Mall Lt.3 jl. Gajah mada 123(Lantai 3),__label__positive
"Mall Karawang central plaza jl arteri Galuh mas raya Funworld prima lt 1 jl arteri Galuh mas raya Karawang timur kab Karawang (mall Karawang central plaza galuhmas
Funworld prima)",__label__positive
Suzuya mall Banda Aceh setui,__label__positive
jl.zainal Abidin pasar muara aman konter dewa cell depan Mega hotel,__label__positive
"jalan r sukamto ptc mall  conter galaxy phone shop Gf B2 21-22 palembang, KOTA PALEMBANG, ILIR TIMUR II, SUMATERA SELATAN, ID, 30111",__label__positive
"Citra Cell samping lapangan voly, kartasari RT.003 RW.001",__label__positive
jl Achmad Yani barat kds Situbondo gedank cell Situbondo,__label__positive
JALAN GATOT SUBROTO(MALL MEDAN PLAZA FAIR LANTAI 4 TOKO ZHO COMPUTER),__label__positive
mall metropolitan cileungsi (erafone lt 2 ),__label__positive
"ALDAN CELL 2, Jalan Srengseng Sawah, RT.7/RW.3, Srengseng Sawah, South Jakarta City, Jakarta",__label__positive
Konter Sofie Cell Depan DEALER HONDA Tebing tinggi WKS  ,__label__positive
Penjaringan di mall emporium lantai LG no 31a nama outlet slowlyyo(Depan transmart ),__label__positive
"ATM mini kembar cell no 30 , jln raya pangalengan jati dpan mesjid istiqomah (depan mesjid istiqomah )",__label__positive
muara beres GG.swadaya raya rt02/04(gang depan rudi cell rumah warna hijau samping warna merah),__label__positive
kali duren(kaliduren desa karyabasuki konter Arfan cell (perempatan kali duren),__label__positive
conter detail cell jl mo sudiaman dpn tpu gonggo rt 03/06 jati rasa tengah,__label__positive
jl.boulevard barat raya mall of Indonesia toko auntie annes lantai 1 loby 8 depan toko fun world(toko auntie annes lantai 1 lobby 8 depan toko fun world),__label__positive
"Plaza Millenium, Jalan Amal Luhur, Dwi Kora, Medan Helvetia, Medan(lantai dasar Oppo store )",__label__positive
"Jl. Pahlawan Seribu, Lengkong Gudang(Gedung plaza BNI BSD lt.13)",__label__positive
"Action studio mall dinoyo lantai 1, blok fs 1-5(Lantai 1)",__label__positive
gedung itc roxy mas(toko DW2 cell lantai dasar nomor 128A),__label__positive
"Borong Bilalang  ( di TR 29 Cell )
",__label__positive
"Plaza Senayan, Jalan Asia Afrika, RW.3, Gelora, Central Jakarta City, Jakarta(Toko Melissa Lantai 2)",__label__positive
"Kp. kedung gede rt 05 rw 01 No.49 setia mekar, kecamatan tambun selatan , kabupaten bekasi.
(belakang naga mall tambun)",__label__positive
"Resinda park mall 
Showroom Manzone Lt 1 jalan resinda raya No 2 Karawang barat",__label__positive
gedung itc roxy mas(toko jaya sentosa lantai dasar nomor 128),__label__positive
"Tanggrang,Banten,Jatake jl today kp paburuan manis jaya, jl today no 37 RT/RW 02/01 Cimone jaya, Jatiuwung konter putri cell(konter putri cell samping potokopian)",__label__positive
jl.K.H.Ahmad Dahlan no.94(Garden Cell 5),__label__positive
"Jl. Sukoharjo No.129, Gejayan, Condong Catur(
belkanh konter faren cell samping londri zoon
)",__label__positive
"Lippo Mall Puri, Kembangan Selatan, Kembangan, West Jakarta City(lantai 1 samping burgerking nama toko eraplus )",__label__positive
Jalan Kapten Tendean (TOKO XPHONE),__label__positive
jl.jeruk raya no 31 toko Borneo Cell Jagakarsa Jakarta Selatan(jl.jeruk raya no 31 toko Borneo Cell Jagakarsa Jakarta Selatan),__label__positive
"konter Queen Cell jatilawang, sebelah barat polsek jatilawang ",__label__positive
"Jl. Raya Kalimulya, Tirtajaya, Sukmajaya(konter anugerah cell 3 depan nasi goreng bang toha)",__label__positive
"Gatsu Plaza, Jalan Gatot Subroto, Purwoyoso, Semarang City, Central Java(No 7 (MEDIANET))",__label__positive
Jl selang nangka kel wanasari kec Cibitung kan Bekasi 17520  konter pulsa Lina cell (Konter pulsa LINACELL),__label__positive
"DS. rogomulyo RT 02 RW 04(samping pangkas/bengkel , konter an phone)",__label__positive
Jl merdeka pasar tais kecamatan seluma kabupaten seluma toko saskya cell sebelah bank mandiri(Saskya cell),__label__positive
"Mall Lucky Plaza Lt 2 No. 12A Xiaomi Service Center. 
",__label__positive
jl.pulau galang no.88 pemogan denpasar selatan(Galang Phone Cell),__label__positive
ngablak Kroyo Karangmalang Sragen(konter why cell ),__label__positive
"Pt. Agricon jalan siliwangi no 68 sukasari, bogor, jawa barat., KOTA BOGOR, BOGOR SELATAN - KOTA, JAWA BARAT, ID, 16133(PT agricon di sebrang LIPPO PLAZA)",__label__positive
konter zea cell depan mts muhammadiyah kecepit,__label__positive
ITC ci Binong mall food court matahari ayam kabur cobek lantai 1 blok cno 3(jalan mayor oking ITC Cibinong mall ci Riung cirimekar ),__label__positive
Jl. G. Krakatau NoA4(Samping Plaza walpaper),__label__positive
lippo plaza kupang NATASHA SKIN CARE(Lt Ug no 9-11),__label__positive
Aman Jaya Laser Ruko Aria Plaza Blok A no. 50 Jln Raya Gatot Subroto Km 8,__label__positive
"AMIN PHONE ( bang jun ), Loceret, Nganjuk Regency, East Java(amin phone timur indomart)",__label__positive
bri link aa cell kp.koje,__label__positive
Jl. kh Noer ali Mall Metropolitan Bekasi lt. Dasar (kitty land). (lt dasar),__label__positive
jl. puri agung mall puri indah lt. 1 toko VPS (vivo) no 144 patokan   depan informa (depan informa /Samsung ),__label__positive
"Jl. Arnold Mononutu, Wanea, Kec. Wanea, Kota Manado, Sulawesi Utara(KIOS RPM Cell dekat alfamidi karombasan)",__label__positive
Plaza Jambu dua (Cyber Cell lantai 1 blok A9 No 6),__label__positive
jl cipto mangun kusump rt 09 samping dealer honda NSS depan klinik advent parindo cell (konter parindo cell ),__label__positive
"Butik Ermenegildo Zegna Plaza Senayan 
lt 1, Senayan",__label__positive
"Jl. Pahlawan Seribu, Lengkong Gudang(gedung plaza BNI bsd lt.13)",__label__positive
"PLAZA 54 RESIDENCE, RT.8/RW.4, Kuningan, Karet Kuningan, Setiabudi, South Jakarta City, Jakarta(kamar 2111)",__label__positive
Jalan Sersan Dapin Eka jaya  RT 01 Konter Ulan Cell Deket Perumahan Kampung Kito yg blm Jadi,__label__positive
Itc cempaka mas lt4 blok L no 997 (toko fila cell samping erafone depan eskalator),__label__positive
"Plaza Indonesia, Jalan M.H. Thamrin, Gondangdia, Central Jakarta City, Jakarta(mall plaza indonesia lt.3 restoran KAMS Roast)",__label__positive
Jln Rama No 8 depan Mall Plaza Shinta ,__label__positive
jln Basuki Rahmat no 8-9 Tunjungan plaza 3 surabaya(toko Victoria secret TP3 lntai UG),__label__positive
RT 6 DS wonocoyo Pogalan Trenggalek(ke counter coronk sakti phone),__label__positive
"Jalan Jend. A. Yani No.230-231, Gadingrejo, Pasuruan City, East Java NR ELECTRONIC",__label__positive
pasir jaya electronic depan pasar minggu ngaso(pinggi jalan pas depan pasar minggu ),__label__positive
"PT. Pertamina (Persero) Logistik Perkapalan Sunter, Jalan Yos Sudarso Kav 85, RW.11, Sunter Jaya, North Jakarta City, Jakarta(di sebrang mall artha gading, sebelum spbu pertamina.)",__label__positive
emporium pluit mall apotek century lt.LGM penjaringan(lt.LGM depan transmart),__label__positive
Kantor Multindo Auto Finance Jln.Ayani Komplek Ruko Ayani Mega Mall pontianak,__label__positive
"Daffa loundri /Daffa cell Kios Tegal Mampir Joton Jogonalan Klaten., KAB. KLATEN, JOGONALAN, JAWA TENGAH, ID, 5745, KAB. KLATEN, JOGONALAN, JAWA TENGAH, ID, 57452",__label__positive
toko warna hijau Yusro Cell ada pom mininya.....depan bakeryy ,__label__positive
Andri Cell / jl.raya sukowati no 398 sragen(Timur luwes sragen),__label__positive
jl. gatot subroto no. 149 banaran kertosono(toko hp iwan cell depan sdn 1 banaran),__label__positive
Toko onderdil warna biru dua tingkat dekat SDN ciadeg disamping fotocopy Rizky cell depan bentang(kp ciadeg pagelaran),__label__positive
RS  PROMEDIKA. Jl gusti sulung lelanang(Komp pontianak mall blok AE no 2-5),__label__positive
"konter BG cell ngunut lor rt 20,, pinggir toko akhsof(jln playen -getas)",__label__positive
mall plaza senayan food court  lantai 3 (yakun kaya toast) (food court lantai 3 ( YAKUN KAYA TOAST) ),__label__positive
"kp.pasirandu asem Rt10/05 belakang konter sahabat 3 cell , pager ijo. puncak jaya baja, samping percetakan, rumah pinggir jalan raya",__label__positive
